iter	Passed	Remaining
399	48262	72393
400	48378	72266
401	48495	72140
402	48618	72022
403	48732	71893
404	48848	71764
405	48960	71632
406	49085	71518
407	49198	71385
408	49311	71253
409	49426	71125
410	49542	70999
411	49657	70871
412	49770	70739
413	49880	70604
414	49991	70469
415	50108	70344
416	50221	70213
417	50337	70087
418	50449	69954
419	50560	69821
420	50677	69696
421	50789	69564
422	50900	69431
423	51010	69297
424	51129	69174
425	51239	69040
426	51349	68907
427	51475	68794
428	51590	68666
429	51717	68556
430	51832	68428
431	51949	68303
432	52062	68174
433	52178	68048
434	52287	67914
435	52401	67785
436	52523	67668
437	52639	67542
438	52759	67421
439	52886	67309
440	53000	67182
441	53115	67054
442	53236	66936
443	53351	66810
444	53464	66681
445	53575	66549
446	53693	66425
447	53808	66299
448	53916	66165
449	54030	66036
450	54146	65912
451	54272	65799
452	54383	65668
453	54496	65540
454	54611	65414
455	54722	65282
456	54834	65153
457	54947	65025
458	55059	64895
459	55191	64789
460	55300	64656
461	55412	64527
462	55524	64398
463	55641	64275
464	55755	64149
465	55868	64020
466	55982	63893
467	56105	63777
468	56215	63647
469	56331	63522
470	56451	63402
471	56565	63277
472	56675	63146
473	56801	63032
474	56918	62909
475	57042	62794
476	57166	62679
477	57291	62565
478	57417	62452
479	57543	62338
480	57656	62211
481	57771	62086
482	57907	61983
483	58049	61887
484	58189	61788
485	58328	61689
486	58459	61580
487	58589	61470
488	58721	61362
489	58838	61240
490	58957	61118
491	59082	61003
492	59207	60888
493	59317	60758
494	59431	60632
495	59549	60510
496	59663	60383
497	59781	60261
498	59896	60136
499	60010	60010
500	60125	59885
501	60239	59759
502	60353	59633
503	60474	59514
504	60584	59384
505	60711	59272
506	60824	59144
507	60939	59020
508	61053	58893
509	61166	58767
510	61286	58647
511	61401	58523
512	61510	58393
513	61623	58266
514	61736	58140
515	61849	58014
516	61966	57891
517	62075	57761
518	62187	57634
519	62297	57505
520	62411	57380
521	62527	57257
522	62641	57131
523	62758	57009
524	62878	56890
525	62984	56757
526	63096	56631
527	63202	56499
528	63327	56384
529	63441	56259
530	63551	56131
531	63662	56003
532	63771	55875
533	63885	55750
534	64002	55628
535	64112	55500
536	64223	55373
537	64339	55251
538	64452	55125
539	64574	55008
540	64687	54883
541	64806	54762
542	64921	54639
543	65040	54519
544	65153	54394
545	65267	54269
546	65382	54146
547	65532	54052
548	65652	53933
549	65766	53809
550	65881	53685
551	65996	53562
552	66105	53434
553	66217	53308
554	66331	53184
555	66443	53059
556	66555	52933
557	66670	52810
558	66782	52685
559	66903	52567
560	67026	52449
561	67150	52334
562	67270	52215
563	67400	52104
564	67522	51986
565	67645	51869
566	67769	51753
567	67894	51637
568	68020	51523
569	68143	51406
570	68266	51289
571	68387	51170
572	68508	51052
